Time,Status,Focus %
1,Focused,100
1,Focused,100
1,Focused,100
1,Focused,100
1,Focused,100
2,Focused,100
2,Sleeping,85
2,Focused,87
2,Focused,88
2,Focused,90
2,Focused,90
2,Focused,91
2,Focused,92
2,Focused,92
2,Focused,93
3,Focused,93
3,Focused,94
3,Focused,94
3,Focused,94
3,Focused,95
3,Focused,95
3,Focused,95
3,Focused,95
3,Focused,95
3,Focused,96
3,Focused,96
3,Focused,96
3,Focused,96
4,Distracted,93
4,Focused,93
4,Focused,93
4,Distracted,90
4,Distracted,87
5,Distracted,85
5,Focused,85
5,Focused,86
5,Focused,86
5,Focused,86
5,Focused,87
5,Sleeping,85
6,Sleeping,82
6,Sleeping,80
6,Distracted,79
6,Focused,79
7,Distracted,77
7,Distracted,76
7,Sleeping,74
7,Focused,75
7,Focused,75
7,Focused,76
8,Focused,76
8,Focused,76
8,Focused,77
8,Focused,77
8,Focused,78
8,Focused,78
8,Focused,78
8,Focused,79
8,Focused,79
8,Focused,80
8,Focused,80
9,Distracted,79
9,Focused,79
9,Sleeping,78
9,Focused,78
9,Focused,78
9,Focused,79
9,Focused,79
9,Focused,79
9,Focused,80
10,Focused,80
10,Focused,80
10,Focused,80
10,Sleeping,79
10,Distracted,78
10,Focused,78
10,Focused,79
11,Focused,79
11,Sleeping,78
11,Focused,78
11,Focused,79
11,Focused,79
11,Focused,79
11,Focused,79
11,Focused,80
11,Focused,80
11,Focused,80
11,Focused,80
12,Focused,80
12,Focused,81
12,Focused,81
12,Focused,81
12,Focused,81
12,Focused,81
12,Focused,82
12,Focused,82
12,Focused,82
12,Focused,82
12,Focused,82
12,Focused,83
12,Focused,83
12,Focused,83
13,Focused,83
13,Focused,83
13,Focused,83
13,Focused,83
13,Focused,84
13,Focused,84
13,Focused,84
13,Focused,84
13,Focused,84
13,Focused,84
13,Focused,84
13,Focused,85
13,Focused,85
13,Focused,85
14,Focused,85
14,Focused,85
14,Focused,85
14,Focused,85
14,Focused,85
14,Focused,86
14,Focused,86
14,Focused,86
14,Focused,86
14,Focused,86
14,Sleeping,85
15,Focused,85
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,86
15,Focused,87
15,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,87
16,Focused,88
16,Focused,88
16,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,88
17,Focused,89
17,Focused,89
17,Focused,89
17,Focused,89
17,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,89
18,Focused,90
18,Focused,90
18,Focused,90
18,Focused,90
19,Focused,90
19,Focused,90
19,Sleeping,89
19,Focused,89
19,Focused,89
19,Focused,89
19,Focused,90
19,Focused,90
19,Focused,90
19,Focused,90
20,Focused,90
20,Focused,90
20,Focused,90
20,Focused,90
20,Focused,90
20,Focused,90
20,Focused,90
20,Sleeping,90
21,Distracted,89
21,Distracted,89
21,Focused,89
21,Focused,89
21,Focused,89
21,Focused,89
21,Focused,89
21,Focused,89
21,Focused,89
21,Focused,89
22,Focused,89
22,Focused,89
22,Focused,89
22,Focused,89
22,Focused,89
22,Focused,89
22,Focused,89
22,Focused,89
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
22,Focused,90
23,Focused,90
23,Focused,90
23,Focused,90
23,Focused,90
23,Distracted,90
23,Distracted,89
23,Distracted,89
24,Distracted,89
24,Sleeping,88
24,Sleeping,88
25,Sleeping,87
25,Focused,88
25,Focused,88
25,Focused,88
25,Focused,88
25,Focused,88
25,Focused,88
25,Focused,88
25,Sleeping,87
25,Distracted,87
26,Sleeping,87
26,Sleeping,86
26,Sleeping,86
26,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Distracted,86
27,Distracted,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
27,Focused,86
28,Focused,86
28,Focused,86
28,Focused,86
28,Focused,86
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,87
28,Focused,88
28,Focused,88
28,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,88
29,Focused,89
29,Focused,89
29,Focused,89
29,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,89
30,Focused,90
30,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
31,Focused,90
32,Focused,90
32,Focused,90
32,Focused,90
32,Focused,90
32,Focused,90
32,Focused,90
32,Focused,90
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
32,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,91
33,Focused,92
33,Focused,92
33,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
34,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
35,Focused,92
36,Focused,92
36,Focused,92
36,Focused,92
36,Focused,93
36,Focused,93
36,Focused,93
36,Focused,93
36,Focused,93
36,Focused,93
36,Focused,93
36,Focused,93
36,Distracted,92
36,No Face,92
36,No Face,92
36,No Face,92
36,No Face,92
36,No Face,92
36,No Face,91
36,No Face,91
36,Focused,91
36,Focused,91
37,Distracted,91
37,Distracted,91
37,No Face,91
37,No Face,91
37,No Face,90
37,No Face,90
37,No Face,90
37,No Face,90
37,No Face,90
37,No Face,90
37,No Face,89
37,No Face,89
37,No Face,89
37,No Face,89
37,No Face,89
37,No Face,89
37,No Face,88
37,No Face,88
37,No Face,88
37,No Face,88
37,No Face,88
37,No Face,88
37,No Face,87
38,No Face,87
38,No Face,87
38,No Face,87
38,No Face,87
38,No Face,87
38,No Face,86
38,No Face,86
38,No Face,86
38,No Face,86
38,No Face,86
38,No Face,86
38,No Face,86
38,No Face,85
38,No Face,85
38,No Face,85
38,No Face,85
38,No Face,85
38,No Face,85
38,No Face,85
38,No Face,84
38,No Face,84
38,No Face,84
38,No Face,84
38,No Face,84
38,No Face,84
38,No Face,83
38,No Face,83
38,No Face,83
38,No Face,83
38,No Face,83
39,No Face,83
39,No Face,83
39,No Face,82
39,No Face,82
39,Distracted,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,No Face,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,82
39,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,No Face,82
40,Focused,82
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Focused,83
40,Distracted,83
40,Focused,83
41,Sleeping,83
41,Focused,83
41,Sleeping,82
41,Focused,83
41,Distracted,82
42,Sleeping,82
42,Sleeping,82
42,Distracted,82
42,Focused,82
42,Focused,82
42,Focused,82
42,Focused,82
42,Focused,82
42,Focused,82
42,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,82
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
43,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Distracted,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
44,Focused,83
45,Focused,83
45,Focused,83
45,Focused,83
45,Focused,83
45,Focused,84
45,Focused,84
45,No Face,83
45,No Face,83
45,Focused,83
45,No Face,83
45,No Face,83
45,No Face,83
45,No Face,83
45,No Face,83
45,Focused,83
45,Focused,83
45,No Face,83
45,No Face,83
45,No Face,82
45,No Face,82
45,No Face,82
45,No Face,82
45,No Face,82
45,No Face,82
45,No Face,82
45,No Face,82
45,No Face,81
45,No Face,81
45,No Face,81
45,No Face,81
45,No Face,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,No Face,81
46,No Face,81
46,Focused,81
46,Focused,81
46,Focused,81
46,No Face,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
46,Focused,81
47,Focused,81
47,Focused,81
47,Focused,81
47,Focused,81
47,Focused,81
47,Focused,81
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
47,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,82
48,Focused,83
48,Focused,83
48,Focused,83
48,Focused,83
48,Focused,83
48,Focused,83
48,Focused,83
48,Focused,83
48,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
49,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,83
50,Focused,84
50,Focused,84
50,Focused,84
50,Focused,84
50,Focused,84
50,Focused,84
50,Distracted,84
50,Focused,84
50,Focused,84
50,Focused,84
50,Focused,84
50,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
51,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,84
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
52,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
53,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Distracted,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
54,Focused,85
55,Focused,85
55,Focused,85
55,Distracted,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,85
55,Focused,86
55,Focused,86
55,Focused,86
55,Focused,86
55,Focused,86
55,Focused,86
55,Focused,86
55,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
56,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
57,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,86
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
58,Focused,87
59,Sleeping,87
59,Distracted,87
59,Sleeping,86
60,Distracted,86
60,Distracted,86
60,Sleeping,86
60,Sleeping,86
60,Focused,86
61,Distracted,86
61,Focused,86
61,Distracted,86
61,Distracted,86
61,Distracted,86
61,Focused,86
61,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Focused,86
62,Distracted,86
62,Distracted,86
63,Distracted,86
63,Sleeping,86
63,Sleeping,86
64,Sleeping,86
64,Focused,86
64,Focused,86
64,Distracted,85
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
64,Focused,86
65,Focused,86
65,Distracted,86
65,Sleeping,86
65,Focused,86
65,Focused,86
65,Focused,86
65,Distracted,86
66,Sleeping,85
66,Focused,85
66,Focused,85
66,Sleeping,85
66,Focused,85
66,Focused,85
66,Focused,85
66,Focused,85
66,Focused,85
66,Focused,85
66,Focused,86
66,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
67,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
68,Focused,86
69,Distracted,86
69,Distracted,86
69,Focused,86
69,Focused,86
69,Focused,86
69,Distracted,86
69,No Face,86
69,No Face,86
69,No Face,86
69,No Face,86
69,No Face,86
69,No Face,86
69,No Face,85
69,Focused,85
70,Distracted,85
70,Focused,85
70,Focused,85
70,Focused,85
70,Distracted,85
70,Sleeping,85
71,Distracted,85
71,Sleeping,85
71,Distracted,85
71,Focused,85
71,Focused,85
71,Focused,85
71,Focused,85
71,Focused,85
72,Distracted,85
72,Focused,85
72,Focused,85
72,Distracted,85
72,Distracted,85
72,Focused,85
72,Focused,85
72,Focused,85
72,Focused,85
72,No Face,85
72,Focused,85
72,No Face,85
72,No Face,85
72,No Face,85
73,No Face,85
73,No Face,85
73,No Face,85
73,No Face,85
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,84
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
73,No Face,83
74,No Face,83
74,No Face,83
74,No Face,83
74,No Face,83
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,Focused,82
74,Distracted,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,82
74,No Face,81
74,No Face,81
74,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,Sleeping,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,81
75,No Face,80
75,No Face,80
75,No Face,80
75,No Face,80
75,No Face,80
75,No Face,80
75,No Face,80
75,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,80
76,No Face,79
76,No Face,79
76,No Face,79
76,No Face,79
76,No Face,79
76,No Face,79
76,No Face,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
76,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Distracted,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,79
77,Focused,80
77,Focused,80
77,Focused,80
77,Focused,80
77,Focused,80
77,Focused,80
77,Focused,80
78,Focused,80
78,Focused,80
78,Focused,80
78,Sleeping,80
78,No Face,80
78,No Face,79
78,No Face,79
78,No Face,79
78,No Face,79
78,No Face,79
78,No Face,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
78,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,79
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
79,Focused,80
80,Focused,80
80,Focused,80
80,No Face,80
80,No Face,80
80,No Face,80
80,No Face,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
80,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
81,Focused,80
82,Distracted,80
82,Distracted,80
82,Focused,80
82,Focused,80
82,Focused,80
82,Focused,80
82,Focused,80
82,Distracted,80
82,Focused,80
82,Focused,80
83,Distracted,80
83,Distracted,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
83,Focused,80
84,Distracted,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,80
84,Focused,81
84,Focused,81
84,Focused,81
84,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Distracted,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
85,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Focused,81
86,Distracted,81
86,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Distracted,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
87,Focused,81
88,Focused,81
88,Focused,81
88,Focused,81
88,Focused,81
